Time,Amount,Note
"10/10/19, 3:20 PM",7.5 oz.
"10/10/19, 10:55 AM",7 oz.
"10/9/19, 3:25 PM",6 oz.
"10/9/19, 10:55 AM",8 oz.
"10/8/19, 9:53 PM",7 oz.
"10/8/19, 3:54 PM",7 oz.
"10/8/19, 10:52 AM",6.5 oz.
"10/7/19, 5:37 PM",7 oz.
"10/7/19, 10:50 AM",7.5 oz.
"10/4/19, 10:52 AM",6.5 oz.
"10/3/19, 3:22 PM",6 oz.
"10/3/19, 10:54 AM",7.5 oz.
"10/2/19, 4:52 PM",7.5 oz.
"10/2/19, 1:04 PM",8.5 oz.
"10/1/19, 3:25 PM",10.5 oz.
"9/30/19, 3:00 PM",7.5 oz.
"9/30/19, 10:53 AM",8.5 oz.
"9/27/19, 3:17 PM",5 oz.
"9/27/19, 10:48 AM",8.5 oz.
"9/26/19, 2:48 PM",7 oz.
"9/26/19, 10:53 AM",8 oz.
"9/25/19, 3:23 PM",7.5 oz.
"9/25/19, 10:55 AM",7.5 oz.
"9/24/19, 2:52 PM",7 oz.
"9/24/19, 10:50 AM",7.5 oz.
"9/23/19, 5:45 PM",9.5 oz.
"9/23/19, 11:00 AM",8 oz.
"9/20/19, 10:48 AM",6.5 oz.
"9/19/19, 12:00 PM",5.5 oz.
"9/18/19, 3:23 PM",6 oz.
"9/18/19, 10:55 AM",8 oz.
"9/17/19, 2:55 PM",5.5 oz.
"9/17/19, 10:55 AM",7 oz.
"9/16/19, 2:52 PM",6 oz.
"9/16/19, 10:52 AM",7 oz.
"9/13/19, 3:12 PM",5 oz.
"9/13/19, 10:58 AM",5.5 oz.
"9/12/19, 2:58 PM",5.5 oz.
"9/12/19, 10:52 AM",7.5 oz.
"9/10/19, 2:23 PM",5 oz.
"9/10/19, 10:52 AM",6 oz.
"9/6/19, 2:50 PM",6 oz.
"9/6/19, 10:50 AM",7.5 oz.
"9/5/19, 10:49 AM",8.5 oz.
"9/4/19, 3:22 PM",7 oz.
"9/4/19, 10:50 AM",7.5 oz.
"8/30/19, 10:56 AM",10 oz.
"8/29/19, 2:55 PM",6.5 oz.
"8/29/19, 10:52 AM",7.5 oz.
"8/28/19, 3:25 PM",6.5 oz.
"8/28/19, 10:52 AM",8.5 oz.
"8/27/19, 2:25 PM",7 oz.
"8/27/19, 10:53 AM",9 oz.
"8/26/19, 2:54 PM",7 oz.
"8/26/19, 10:54 AM",7 oz.
"8/23/19, 2:48 PM",6 oz.
"8/23/19, 10:51 AM",8.5 oz.
"8/22/19, 2:49 PM",6.5 oz.
"8/22/19, 10:53 AM",7 oz.
"8/21/19, 3:23 PM",6.5 oz.
"8/21/19, 10:55 AM",6 oz.
"8/20/19, 2:51 PM",5 oz.
"8/20/19, 10:49 AM",6.5 oz.
"8/19/19, 10:56 AM",6 oz.
"8/14/19, 2:56 PM",6 oz.
"8/14/19, 10:50 AM",8.5 oz.
"8/13/19, 2:51 PM",5.5 oz.
"8/13/19, 10:55 AM",8.5 oz.
"8/12/19, 2:53 PM",6.5 oz.
"8/12/19, 10:52 AM",8 oz.
"8/9/19, 4:27 PM",7 oz.
"8/9/19, 10:55 AM",7 oz.
"8/8/19, 2:54 PM",6.5 oz.
"8/8/19, 10:47 AM",8 oz.
"8/7/19, 3:24 PM",6.5 oz.
"8/7/19, 10:55 AM",8 oz.
"8/6/19, 2:55 PM",6.25 oz.
"8/6/19, 10:56 AM",8 oz.
"8/5/19, 2:54 PM",6 oz.
"8/5/19, 10:53 AM",8 oz.
"8/2/19, 3:45 PM",13 oz.
"8/1/19, 2:44 PM",5.5 oz.
"8/1/19, 10:56 AM",7.5 oz.
"7/31/19, 3:21 PM",7 oz.
"7/31/19, 10:52 AM",7.5 oz.
"7/30/19, 2:52 PM",6 oz.
"7/30/19, 10:53 AM",7.5 oz.
"7/29/19, 2:23 PM",5.5 oz.
"7/29/19, 10:53 AM",7.5 oz.
"7/26/19, 2:32 PM",6.5 oz.
"7/26/19, 10:49 AM",7 oz.
"7/25/19, 2:55 PM",6 oz.
"7/25/19, 10:50 AM",9 oz.
"7/24/19, 3:40 PM",5 oz.
"7/24/19, 10:49 AM",7 oz.
"7/23/19, 2:50 PM",6.5 oz.
"7/23/19, 10:58 AM",8 oz.
"7/22/19, 2:30 PM",12 oz.
"7/20/19, 7:50 PM",5.25 oz.
"7/19/19, 2:55 PM",6 oz.
"7/19/19, 10:55 AM",6 oz.
"7/18/19, 2:53 PM",6 oz.
"7/18/19, 10:48 AM",7.5 oz.
"7/17/19, 3:21 PM",6 oz.
"7/17/19, 10:48 AM",6.5 oz.
"7/16/19, 2:56 PM",6.5 oz.
"7/16/19, 10:48 AM",7.5 oz.
"7/15/19, 2:49 PM",6.5 oz.
"7/15/19, 10:55 AM",7 oz.
"7/12/19, 10:52 AM",6 oz.
"7/11/19, 2:52 PM",6 oz.
"7/11/19, 10:49 AM",6 oz.
"7/10/19, 10:56 AM",6.75 oz.
"7/9/19, 3:00 PM",5 oz.
"7/9/19, 11:25 AM",7 oz.
"7/8/19, 10:51 AM",7.5 oz.
"7/3/19, 2:55 PM",5 oz.
"7/3/19, 10:55 AM",7.5 oz.
"7/1/19, 2:57 PM",5.5 oz.
"7/1/19, 10:50 AM",7.5 oz.
"6/28/19, 10:47 AM",8 oz.
"6/27/19, 2:50 PM",6 oz.
"6/27/19, 10:51 AM",7.5 oz.
"6/26/19, 2:53 PM",5.5 oz.
"6/26/19, 10:50 AM",6.75 oz.
"6/25/19, 10:47 AM",8 oz.
"6/24/19, 10:44 AM",7.5 oz.
"6/21/19, 2:51 PM",6 oz.
"6/21/19, 10:48 AM",7 oz.
"6/20/19, 10:47 AM",7.25 oz.
"6/19/19, 12:48 PM",3 oz.
"6/19/19, 10:52 AM",8 oz.
"6/18/19, 2:48 PM",5.5 oz.
"6/18/19, 10:48 AM",7.5 oz.
"6/17/19, 2:53 PM",5.5 oz.
"6/17/19, 10:47 AM",6.25 oz.
"6/14/19, 2:49 PM",5.75 oz.
"6/14/19, 10:48 AM",6.75 oz.
"6/13/19, 6:09 PM",3 oz.
"6/13/19, 2:46 PM",6.75 oz.
"6/13/19, 10:48 AM",8.5 oz.
"6/12/19, 2:48 PM",5 oz.
"6/12/19, 10:53 AM",7.5 oz.
"6/11/19, 2:46 PM",8.5 oz.
"6/11/19, 10:49 AM",7.5 oz.
"6/10/19, 2:49 PM",6.5 oz.
"6/10/19, 10:48 AM",9.75 oz.
"6/9/19, 3:10 PM",5.75 oz.
"6/7/19, 3:44 PM",8.5 oz.
"6/7/19, 10:45 AM",9 oz.
"6/6/19, 2:51 PM",6.5 oz.
"6/6/19, 10:46 AM",7 oz.
"6/5/19, 2:35 PM",5.75 oz.
"6/5/19, 10:46 AM",6.5 oz.
"6/4/19, 2:50 PM",6 oz.
"6/4/19, 10:02 AM",6.5 oz.
"6/3/19, 2:43 PM",6 oz.
"6/3/19, 10:45 AM",7.75 oz.
"5/31/19, 7:05 PM",4.5 oz.
"5/31/19, 2:25 PM",2 oz.
"5/31/19, 10:54 AM",6.5 oz.
"5/30/19, 2:47 PM",6.5 oz.
"5/30/19, 10:45 AM",8 oz.
"5/29/19, 3:02 PM",7 oz.
"5/29/19, 10:39 AM",8 oz.
"5/27/19, 1:50 PM",3 oz.
"5/26/19, 11:03 PM",4 oz.
"5/26/19, 12:40 PM",7 oz.
"5/25/19, 3:42 PM",4 oz.
"5/24/19, 11:35 PM",4 oz.
"5/24/19, 6:47 PM",3.5 oz.
"5/23/19, 11:15 PM",4 oz.
"5/23/19, 9:20 AM",5 oz.
"5/22/19, 10:30 PM",3 oz.
"5/22/19, 10:00 AM",3 oz.
